event,x,y,speed,button,time,scroll,session_id
move,1024,454,2338.651813812142,,1736581564.028487,,1736581533
move,1037,441,18603.4597876247,,1736581564.0294752,,1736581533
move,1061,421,2409.6479491461027,,1736581564.0434399,,1736581533
move,1099,403,3513.435008071845,,1736581564.0554059,,1736581533
move,1140,383,22856.967079416623,,1736581564.0564036,,1736581533
move,1184,361,4932.289698816344,,1736581564.0663774,,1736581533
move,1231,341,8537.087724851344,,1736581564.0723605,,1736581533
move,1274,324,3090.602160916343,,1736581564.0873215,,1736581533
move,1329,309,57162.82986128394,,1736581564.0893142,,1736581533
move,1378,298,5036.004535940023,,1736581564.0992901,,1736581533
move,1411,293,8365.7086482871,,1736581564.1022806,,1736581533
move,1426,289,1197.3723432368922,,1736581564.1152458,,1736581533
move,1435,289,1127.7031726115792,,1736581564.1242232,,1736581533
move,1442,289,877.5481364139044,,1736581564.1312034,,1736581533
move,1448,290,358.7361353770433,,1736581564.1491585,,1736581533
move,1455,293,2546.4658482953932,,1736581564.1511502,,1736581533
move,1474,298,3941.1257695034433,,1736581564.1561353,,1736581533
move,1499,303,1111.3509635179937,,1736581564.179076,,1736581533
move,1545,310,46599.5992618975,,1736581564.1800745,,1736581533
move,1592,321,2547.6520724856546,,1736581564.1990213,,1736581533
move,1636,335,15438.939289795866,,1736581564.202012,,1736581533
move,1669,346,1835.3703122376012,,1736581564.2219598,,1736581533
move,1682,354,850.3329959074234,,1736581564.2389157,,1736581533
move,1689,358,139.38123391555075,,1736581564.296759,,1736581533
move,1689,367,250.6639397058335,,1736581564.3336627,,1736581533
move,1683,378,2511.3240543967286,,1736581564.338648,,1736581533
move,1672,386,592.9725403362621,,1736581564.3616028,,1736581533
move,1652,403,6579.542620434012,,1736581564.3665745,,1736581533
move,1625,423,8415.8074159447,,1736581564.3685727,,1736581533
move,1603,437,466.94559220863147,,1736581564.4264133,,1736581533
move,1571,453,3985.3393301141596,,1736581564.4343998,,1736581533
move,1545,461,3897.3016915337553,,1736581564.4403753,,1736581533
move,1529,466,1867.743784420523,,1736581564.4493504,,1736581533
move,1504,469,12605.619026687584,,1736581564.4523435,,1736581533
move,1482,472,5567.565145123006,,1736581564.4553359,,1736581533
move,1458,478,1771.7902175042934,,1736581564.4692984,,1736581533
move,1440,483,1170.716644943259,,1736581564.4862545,,1736581533
move,1423,489,1129.458985233372,,1736581564.502218,,1736581533
move,1409,493,1460.2359537587315,,1736581564.5111883,,1736581533
move,1405,495,4484.221306382634,,1736581564.5131814,,1736581533
move,1398,495,3512.817420435511,,1736581564.5141783,,1736581533
move,1396,495,2003.9675107501193,,1736581564.5161736,,1736581533
move,1395,495,111.39953786088019,,1736581564.5261476,,1736581533
move,1396,495,91.14089526292916,,1736581564.535125,,1736581533
move,1402,484,6290.935897337843,,1736581564.5371168,,1736581533
move,1417,469,10633.993548791184,,1736581564.5391116,,1736581533
move,1442,446,17027.11767617409,,1736581564.5421033,,1736581533
move,1482,412,8771.849786289724,,1736581564.5470915,,1736581533
move,1518,379,49027.03854105077,,1736581564.5490856,,1736581533
move,1565,337,31597.25958846731,,1736581564.5500824,,1736581533
move,1601,303,24825.744262951706,,1736581564.5530741,,1736581533
move,1632,278,9980.076722513422,,1736581564.5560675,,1736581533
